"61";"MARCADOR PERMANENTE 420 PELIKAN";"10";"0.3799";"5";"3.61";"PROESCOLAR";"0.360905";"10";"0.469177";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"62";"MARCADOR PIZARRA 426 PELIKAN";"30";"0.4765";"5";"13.58";"PROESCOLAR";"0.452675";"30";"0.588477";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"63";"MASKING FANTAPE 12MM X20Y";"6";"0.2783";"5";"1.59";"PROESCOLAR";"0.264385";"6";"0.3437";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"64";"MASKING FANTAPE 18MM X20Y";"6";"0.3906";"5";"2.23";"PROESCOLAR";"0.37107";"6";"0.482391";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"65";"MINAS FEBER CASTTEL 0.5 HB-2B-2H";"12";"0.217";"5";"2.47";"PROESCOLAR";"0.20615";"12";"0.267995";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"66";"NAIPES 737 CARTAS (CAJA)";"12";"0.4391";"5";"5.01";"PROESCOLAR";"0.417145";"12";"0.542288";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"67";"NORMOGRAFO TECNICO 0.5";"10";"1.1733";"5";"11.15";"PROESCOLAR";"1.11463";"10";"1.44903";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"68";"PALOS DE HELADO BLANCO(FUNDA)";"12";"0.279";"5";"3.18";"PROESCOLAR";"0.26505";"12";"0.344565";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"69";"PAPEL CARBON  1015 PELIKAN (100H)";"100";"0.053";"5";"5.04";"PROESCOLAR";"0.05035";"100";"0.065455";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"70";"PAPEL CREPE PLIEGO (COLORES)";"100";"0.1746";"5";"16.59";"PROESCOLAR";"0.16587";"100";"0.215631";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"71";"PAPEL MINISTRO 400H (RESMA)";"1";"6.69";"5";"6.36";;"6.3555";"1";"8.26215";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"72";"PAPEL ORAPEL/METALIZADO (metro)";"18";"0.4151";"5";"7.1";"PROESCOLAR";"0.394345";"18";"0.512649";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"73";"PAPEL PERIODICO PLIEGO 90X130";"50";"0.0699";"5";"3.32";"PROESCOLAR";"0.066405";"50";"0.0863265";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"74";"PAPEL PLANO/CALCO";"50";"0.0599";"5";"2.85";;"0.056905";"50";"0.0739765";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"75";"PEGA BARRA BESTER 10GR PEQUE?A";"12";"0.2852";"5";"3.25";"PROESCOLAR";"0.27094";"12";"0.352222";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"76";"PEGA BARRA UHU 8.2GR PEQUE?A";"12";"0.7817";"5";"8.91";"PROESCOLAR";"0.742615";"12";"0.9654";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"77";"PISTOLA SILICON JEFF PEQUE?O 10M";"6";"2.1122";"5";"12.04";"PROESCOLAR";"2.00659";"6";"2.60857";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"78";"PLASTILINA PELIKAN X10 COLORES";"12";"0.5926";"5";"6.76";"PROESCOLAR";"0.56297";"12";"0.8";"0000-00-00 00:00:00";"2016-05-21 20:24:08";"A"
"79";"PORTA CARNET CON BINCHA ";"25";"0.275";"5";"6.53";"PROESCOLAR";"0.26125";"25";"0.339625";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"80";"PORTAMINAS ROTRING 05 (ORIGONAL)";"6";"5.0607";"5";"28.85";"PROESCOLAR";"4.80766";"6";"6.24996";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"81";"REGLA APOLO 30CM PLASTICO";"12";"0.206";"5";"2.35";"PROESCOLAR";"0.1957";"12";"0.25441";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"82";"SACAPUNTA ALEMAN METAL 1 SERV";"20";"0.2632";"5";"5";;"0.25004";"20";"0.325052";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"83";"SEPARADOR  BANDERIN MEMO TIP JADEL ";"6";"1.0765";"5";"6.14";"PROESCOLAR";"1.02268";"6";"1.32948";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"84";"SILICONAS";"24";"0.25";"0";"6";"TEMPORADA";"0.25";"24";"0.325";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"85";"SOBRE MANILA F5";"100";"0.0886";"5";"8.42";"PROESCOLAR";"0.08417";"100";"0.109421";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"86";"TAYPE 19MM X 10YDS(COLORES)";"10";"0.316";"5";"3";"PROESCOLAR";"0.3002";"10";"0.39026";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"87";"TEMPERA CARIOCA PINCEL + PALETA6PZ";"12";"1.1623";"5";"13.25";"PROESCOLAR";"1.10418";"12";"1.43544";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"88";"TIZA UNIVERSIT. COLOR 144 UNIDAD";"1";"2.275";"5";"2.16";"PROESCOLAR";"2.16125";"1";"2.80962";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"89";"CARPETA PERFIL A4 310 COLORES";"10";"0.2417";"5";"2.3";;"0.229615";"10";"0.298499";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"90";"SILICONA LIQUINA PEQUE?A 30ML";"48";"0.2452";"5";"11.18";;"0.23294";"48";"0.302822";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"91";"PAPEL BRILLANTE FUNDA A5";"50";"0.0921";"5";"4.37";;"0.087495";"50";"0.113743";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"92";"GRADUADOR APOLO 360GRADOS";"25";"0.2578";"5";"6.12";;"0.24491";"25";"0.318383";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"93";"CINTA SCOHT 12mm X 36 Y";"12";"0.25";"5";"15";;"0.25";"12";"0.25";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"94";"Cuadernos de Dibujo";"100";"1";"0.05";"0";;"0";"100";"0";"2016-05-11 18:17:59";"2016-05-11 18:17:59";"A"
"97";"Goma Bioplast PequeÃ±a 50gr";"176";"0.1211";"0.05";"21.3136";;"0.115045";"176";"0.149558";"2016-05-11 18:46:54";"2016-05-11 18:46:54";"A"
"98";"Fomix Pliego 115 x 60 cm. (Colores)";"12";"1.1048";"0.05";"13.2576";;"1.04956";"12";"1.36443";"2016-05-11 18:54:31";"2016-05-11 18:54:31";"A"
"99";"PAPEL COPYLASER 75gr RESMA 500H";"20";"2.6";"0.05";"52";;"2.47";"20";"3.211";"2016-05-12 19:09:01";"2016-05-12 19:09:01";"A"
"100";"Compaz Lancer 1173";"1";"1.5";"0.01";"1.5";;"1.485";"1";"1.75";"2016-05-14 13:44:17";"2016-05-21 20:04:32";"A"
"101";"PEGA BARRA BESTER 21gr GRANDE";"36";"0.3866";"0.05";"13.9176";;"0.36727";"36";"0.477451";"2016-05-21 11:49:15";"2016-05-21 11:49:15";"A"
"102";"PEGA BARRA BESTER 36gr ";"36";"0.4716";"0.05";"16.9776";;"0.44802";"36";"0.582426";"2016-05-21 11:50:57";"2016-05-21 11:50:57";"A"
"103";"MARCADOR ACETATOS JEFF 2 PUNTAS(RJ AZ NG)";"12";"0.3797";"0.05";"4.5564";;"0.360715";"12";"0.468929";"2016-05-21 11:55:16";"2016-05-21 11:55:16";"A"
"104";"CD PRINCO TORRE";"100";"0.168";"0.05";"16.8";;"0.1596";"100";"0.20748";"2016-05-21 11:57:58";"2016-05-21 11:57:58";"A"
"105";"CD- DVD MATRIX TORRE";"100";"0.2049";"0.05";"20.49";;"0.194655";"100";"0.253051";"2016-05-21 11:58:54";"2016-05-21 11:58:54";"A"
"106";"MARCADOR LION NUMERADOS TODOS";"12";"0.8819";"0.05";"10.5828";;"0.837805";"12";"1.08915";"2016-05-21 11:59:56";"2016-05-21 11:59:56";"A"
"107";"CARTULINA BRISTOL INEN( A R V C B)";"400";"0.0205";"0.05";"8.2";;"0.019475";"400";"0.0253175";"2016-05-21 12:03:18";"2016-05-21 12:03:18";"A"
"108";"PAPEL MILIMETRADO A4 (Ng Az)";"100";"0.0125";"0.05";"1.25";;"0.011875";"100";"0.0154375";"2016-05-21 12:05:37";"2016-05-21 12:05:37";"A"
"109";"ESFERO PAPER MATE(Rs-Vl-An-Cl-Cf-Vr)";"60";"0.2672";"0.05";"16.032";;"0.25384";"60";"0.329992";"2016-05-21 12:08:11";"2016-05-21 12:08:11";"A"
"110";"RESALTADOR 222 PELIKAN";"20";"0.5744";"0.05";"11.488";;"0.54568";"20";"0.709384";"2016-05-21 12:09:44";"2016-05-21 12:09:58";"A"
"111";"SILICONA BARRA PEQUEÃ‘A";"68";"0.081";"0.05";"5.508";;"0.07695";"68";"0.100035";"2016-05-21 12:14:23";"2016-05-21 12:14:23";"A"
